id,lat,lon,tags,cluster
347145587,19.0546237,72.8264717,3,college
496816401,18.9166662,72.8176892,3,college
593863031,19.207513,72.9043878,3,college
669259659,18.9239427,72.8321648,3,college
1070186383,19.2327064,72.8051845,3,bank
1332567346,18.9304651,72.8264743,3,bank
1416515413,19.2142852,72.8401279,3,bank
1575245771,19.1029971,72.8465194,3,bank
1579291348,19.1036662,72.8521762,3,bank
1581145453,19.2578358,72.9825882,3,bank
1641769671,19.0707955,72.8232908,3,bank
1641769673,19.0708097,72.8235607,3,bank
1641769683,19.0708921,72.8235199,3,bank
1641863970,19.0705093,72.822596,3,bank
1641864028,19.0707593,72.8233064,3,bank
1803648461,19.1057759,72.826406,3,bank
1803653587,19.1055162,72.826395,3,bank
1942841563,19.2105471,72.982522,3,bank
1999869298,19.1359736,72.8096746,3,cafe
2069326476,19.1339381,72.811321,3,cafe
2125146906,19.1420001,72.8290745,3,cafe
2125165377,19.1467308,72.8287312,3,cafe
2125165395,19.1466371,72.8291174,3,cafe
2125320195,19.141372,72.8312307,3,cafe
2125324753,19.1253994,72.8222426,3,cafe
2126250464,19.1471721,72.8236699,3,cafe
2128594751,19.0896239,72.827627,3,cafe
2128599361,19.0616333,72.8361189,3,cafe
2130260964,19.1347008,72.8106957,3,cafe
2130342936,19.1290137,72.8177212,3,cafe
2131895195,19.029206,72.8382235,3,cafe
2166872171,18.9390156,72.8342644,3,cafe
2171398755,19.0621741,72.8294232,3,cafe
2188855052,19.1067657,72.8639412,3,cafe
2362619773,19.1395315,72.8314627,3,cafe
2364385923,19.1373689,72.8294395,3,cafe
2366707929,19.1844883,72.8301071,3,cafe
2366743771,19.151605,72.8318911,3,cafe
2370526133,19.1374036,72.8271916,3,cafe
2391804809,19.1062054,72.825633,3,cafe
2396197796,19.1146804,72.836375,3,cafe
2562631544,19.1726852,72.8740201,3,cafe
2562637541,19.174647,72.8679049,3,cafe
2601474357,18.9322713,72.833932,3,cafe
2610565997,19.0592055,72.8294744,3,cafe
2680338196,19.0713519,72.8241542,3,cafe
2680683054,19.074673,72.8273822,3,cafe
2718678717,19.1003165,72.8276196,3,cafe
2719044956,19.0752035,72.8259183,3,cafe
2805271348,18.9989541,72.8251728,3,cafe
2820428444,19.2018265,72.8612465,3,cafe
2851477523,19.0487301,72.8259524,3,cafe
2868747101,19.0540927,72.8278265,3,cafe
2930683935,19.0597612,72.9103571,3,cafe
2930714471,18.9520672,72.8280392,3,cafe
3008644986,19.1319124,72.832721,3,cafe
3048179689,19.0383759,72.8534092,3,cafe
3190198357,19.1147987,72.834383,3,bus_station
3202768659,19.0644019,72.9018073,3,bus_station
3204202841,19.0295407,72.9348364,3,bus_station
3204284269,18.9462778,72.8436247,3,bus_station
3204438064,19.048368,72.9221477,3,bus_station
3204516266,19.0420352,72.9164383,3,bus_station
3204881746,19.0603312,72.9105858,3,bus_station
3205798464,18.9532967,72.8360059,3,bus_station
3205968767,19.0633635,72.9040535,3,bus_station
3206047095,19.0665095,72.924604,3,bus_station
3213755719,19.0666508,72.9104239,3,bus_station
3213766641,19.1688674,72.9600621,3,bus_station
3214503592,19.0518758,72.9007969,3,bus_station
3216971091,19.0993371,72.8737906,3,bus_station
3217533161,19.0629897,72.918479,3,bus_station
3229085249,18.9303365,72.833002,3,bus_station
3231190599,19.1679943,72.9609744,3,bus_station
3235946452,19.1766217,72.9526981,3,bus_station
3272816363,19.0652617,72.8318767,3,bus_station
3290997483,18.9189746,72.8320493,3,bus_station
3293516347,19.141731,72.8309285,3,bus_station
3306535080,18.9546257,72.8147495,3,bus_station
3355504857,19.0251127,73.1105272,3,bus_station
3417207117,19.0657265,72.8247137,3,bus_station
3431362704,19.0232496,73.0316961,3,bus_station
3431461647,19.084334,72.9976866,3,bus_station
3438547095,19.0339276,73.0642075,3,bus_station
3483943994,19.0559886,72.9007064,3,bus_station
3484968657,19.2088274,72.8726845,3,bus_station
3512350294,19.0593404,72.8294662,3,bus_station
3524664707,19.0678286,72.8689535,3,bus_station
3546145550,19.1155469,72.9056771,3,bus_station
