id,lat,lon,tags
4538287491,19.1002116,72.8747168,cafe
4569894528,19.0689455,72.9062777,cafe
4573028753,19.0291924,73.0629645,cafe
4573028754,19.0354287,73.0673875,cafe
4674815089,19.0282957,72.8411776,cafe
4712811391,18.9344658,72.8358494,cafe
4736444239,19.0485691,72.8258748,cafe
4737541126,19.0426662,72.9157119,cafe
4737541127,19.0426516,72.9158577,cafe
4737541128,19.04252,72.9159218,cafe
4737541129,19.0424156,72.9158334,cafe
4737541130,19.0424198,72.9157053,cafe
4737541131,19.0425493,72.9156346,cafe
4753990521,19.0293039,72.8379984,cafe
4801871623,18.9337793,72.8350256,cafe
4821879686,19.0390227,72.8428163,cafe
4841690924,18.9187299,72.8304224,cafe
4841695622,18.9185279,72.830327,cafe
4848782875,19.0408811,72.8461003,cafe
4871110562,19.2131152,72.8423408,cafe
4875167104,19.2230442,72.8410341,cafe
4956391292,19.0033975,73.014006,cafe
4970562243,19.1266104,72.8207329,cafe
5090943810,18.9564555,72.8159459,cafe
5126350906,19.1729839,72.9414012,cafe
5190298600,18.9883571,73.1279364,cafe
5238264793,19.0511545,72.8276438,cafe
5238414920,19.0505612,72.8265262,cafe
5238415222,19.0504992,72.8267677,cafe
5246971907,19.0496427,72.8300452,cafe
5246971908,19.0495544,72.8298692,cafe
5246971910,19.0493287,72.8294624,cafe
5257269331,19.0456342,72.8191848,cafe
5257269332,19.0455905,72.8192694,cafe
5257269333,19.0457014,72.8193271,cafe
5257269334,19.0457378,72.8192329,cafe
5257269351,19.047484,72.8200828,cafe
5257269352,19.0474463,72.8200533,cafe
5273978265,19.0573435,72.8276847,cafe
5276935422,19.0964751,72.8744612,cafe
5277435362,19.063102,72.8249753,cafe
5281312529,19.0605602,72.8244019,cafe
5283982922,18.9554204,72.8137657,cafe
5284580931,18.9327854,72.8357411,cafe
5287626235,18.9280874,72.8324624,cafe
5327049733,19.0929815,72.8281621,cafe
5437750121,18.9249562,72.8318084,cafe
5464620222,19.0241428,72.8395928,cafe
5493336911,19.1721667,73.2463297,cafe
5506320531,19.0646784,72.8608743,cafe
5696882729,19.0276804,72.852878,cafe
5776168799,18.9306581,72.8258945,cafe
5911695128,19.0421559,72.9267966,cafe
5911695129,19.0420499,72.9267874,cafe
5911695130,19.042153,72.9268339,cafe
5921458249,19.11058,72.8457722,cafe
5956400508,18.9914153,73.1236476,cafe
5956459482,18.9911308,73.1241178,cafe
6041448786,19.1328996,72.8123058,cafe
6041452295,19.1347525,72.8139948,cafe
6052821493,19.1610704,72.9443834,cafe
6052834510,19.1611515,72.9442456,cafe
6052834895,19.1611215,72.9443083,cafe
6052834896,19.1610556,72.9445218,cafe
6155507386,18.938269,72.8356327,cafe
6203284886,19.1514997,72.8320548,cafe
6221009336,18.9239696,72.8318052,cafe
6230994985,19.1156293,72.9089205,cafe
6233043687,19.1162145,72.9097617,cafe
6322320328,19.0744165,72.9052818,cafe
6369776385,18.9288942,72.8321102,cafe
6383339473,19.0214663,72.8568552,cafe
6477903843,19.1330064,72.8122018,cafe
6507896887,19.005471,72.8258771,cafe
6534519657,19.0419393,72.8611885,cafe
6622437085,18.9238065,72.8326183,cafe
6721812590,19.1048126,72.8522763,cafe
6726371986,19.1720497,72.9583156,cafe
6790531869,19.0020823,72.8144272,cafe
6795540688,19.1151187,72.9071584,cafe
6795540689,19.1151114,72.9071199,cafe
6795570385,19.1153848,72.9073569,cafe
6801919208,19.1275148,72.9192427,cafe
6801919210,19.1275446,72.9192498,cafe
6804290542,19.1273764,72.9192072,cafe
6805063788,19.2083875,72.9720612,cafe
6805069989,19.1323844,72.9159401,cafe
6805177285,19.1178236,72.9048936,cafe
6805332886,19.1156584,72.9089578,cafe
6805394485,19.1155043,72.9087633,cafe
6805468987,19.1150616,72.9070531,cafe
6810831551,19.1157038,72.9090406,cafe
6810831553,19.1170593,72.9095683,cafe
6810831556,19.1185263,72.9115605,cafe
6908315507,19.1489182,72.8322127,cafe
6957213160,19.1611924,72.9911688,cafe
6960777256,19.0609825,72.8268992,cafe
151355955,,,cafe
348488379,,,cafe
480788776,,,cafe
543846807,,,cafe
626193638,,,cafe
1074947838,19.2352912,73.1316016,drinking_water
1641813917,19.0719665,72.8242924,drinking_water
2189176391,18.9331661,72.8315681,drinking_water
2568650320,19.0424756,72.9272891,drinking_water
2568659863,19.0420204,72.9283171,drinking_water
2841826818,18.9639344,72.9313142,drinking_water
3306535091,18.9567461,72.8056465,drinking_water
4265455290,18.9206466,72.8263599,drinking_water
4538286390,19.0991538,72.8734787,drinking_water
4707055001,19.1330953,72.9151362,drinking_water
4793075021,19.222533,73.16305,drinking_water
4841716422,18.923469,72.8341089,drinking_water
4877433621,19.2619443,73.1947603,drinking_water
4878591021,19.2642419,73.1487092,drinking_water
5071072236,19.1341689,72.9151594,drinking_water
5071072237,19.1341938,72.9149339,drinking_water
5072774122,19.1338809,72.9158031,drinking_water
5072774123,19.1338786,72.915766,drinking_water
5072774124,19.134205,72.916272,drinking_water
5072774125,19.1341672,72.9166123,drinking_water
5072774126,19.1339382,72.9169604,drinking_water
5072774127,19.1340607,72.9176878,drinking_water
5072774128,19.1335736,72.9177243,drinking_water
5072774129,19.1333159,72.9172386,drinking_water
5072774131,19.1331923,72.9153236,drinking_water
5072774132,19.1327455,72.9164826,drinking_water
5072774133,19.1324003,72.9175079,drinking_water
5072774134,19.1319778,72.9164895,drinking_water
5072774135,19.1319739,72.9173006,drinking_water
5072774136,19.1321141,72.9176055,drinking_water
5072774137,19.1321103,72.9176502,drinking_water
5072774138,19.1312433,72.9165714,drinking_water
5072774139,19.1316397,72.9176403,drinking_water
5072774140,19.1312942,72.9176942,drinking_water
5072774141,19.1309494,72.9173515,drinking_water
5072774142,19.1308425,72.9165428,drinking_water
5072774143,19.1305959,72.9158759,drinking_water
5072774144,19.1303492,72.9165058,drinking_water
5072774145,19.1304034,72.9176769,drinking_water
5072774146,19.1304878,72.9182642,drinking_water
6212726035,19.1349062,72.9158534,drinking_water
6764468443,18.9388902,72.8356379,drinking_water
6924350488,19.127635,72.9197264,drinking_water
5556204972,19.0261032,73.0248788,food_court
6024106796,19.1198654,72.8732147,food_court
245675222,19.1412246,72.9021333,college
296859201,19.0446224,72.8203162,college
296859202,19.0442538,72.8202429,college
296859203,19.0438166,72.8207736,college
296859204,19.0437863,72.8208344,college
296859205,19.0438978,72.8215313,college
296859207,19.0447049,72.8214268,college
296859208,19.0445584,72.8212402,college
296859211,19.0444627,72.8208663,college
296859212,19.0445603,72.8207465,college
296859213,19.0445869,72.8204271,college
347036704,19.0566226,72.8287305,college
347137895,19.0641273,72.8352965,college
347138192,19.0642652,72.8358458,college
348128686,19.0684106,72.8244647,college
456160323,18.9789304,72.8144451,college
456313288,18.9903487,72.817569,college
583195252,19.0449173,73.0745106,college
583195254,19.0445508,73.0741485,college
597251892,18.9406787,72.8285967,college
597251896,18.9413505,72.8284084,college
619081828,19.044273,73.0263392,college
621933080,18.94607,72.8337972,college
621933082,18.945375,72.8330686,college
621933083,18.944743,72.8330009,college
621933084,18.9424509,72.8333717,college
621933085,18.9429791,72.834374,college
628634414,18.9088,72.8043465,college
628634417,18.9052434,72.8035858,college
628634420,18.9049929,72.8057341,college
628634426,18.9076725,72.8060774,college
667357940,19.1324732,72.9181794,college
667357941,19.1324869,72.9184936,college
667357942,19.1322796,72.9181912,college
667357943,19.1322933,72.9185054,college
667385737,19.1351062,72.9186665,college
667385738,19.135078,72.9187876,college
667385739,19.1351266,72.9188003,college
667385740,19.1350906,72.9189546,college
667385741,19.1354141,72.9190391,college
667385742,19.1354784,72.9187637,college
667387423,19.1353905,72.9168911,college
667387424,19.1352567,72.9168444,college
667387425,19.1353564,72.9167059,college
667387426,19.1352254,72.9167607,college
667387427,19.1353979,72.9168171,college
667387428,19.1352369,72.9169654,college
667387429,19.1352005,72.9168679,college
667387430,19.135412,72.9170795,college
667387431,19.1353515,72.9169174,college
667387440,19.1354542,72.9170618,college
667387441,19.1355296,72.916833,college
667387442,19.1355067,72.9167716,college
668494244,19.1317025,72.9157388,college
668511950,19.1333839,72.9171775,college
668708219,19.1327013,72.9153012,college
695662609,19.1238078,72.8357029,college
695662610,19.1237976,72.8364861,college
695662611,19.12323,72.8364753,college
695662612,19.12323,72.8361964,college
695662613,19.1236354,72.8361964,college
695662614,19.1236354,72.8360355,college
695662615,19.1232503,72.8360355,college
695662616,19.1232503,72.8357136,college
695662617,19.1231894,72.8357243,college
695662618,19.1231894,72.8364431,college
695662619,19.1230678,72.8364431,college
695662620,19.1230577,72.8357243,college
703826803,19.1248023,72.8356045,college
703826804,19.1248023,72.8353471,college
703826805,19.1250051,72.8353256,college
703826806,19.1250051,72.835626,college
703826807,19.1250051,72.8363556,college
703826808,19.124924,72.8363448,college
703826809,19.1249139,72.8356153,college
703830933,19.1238089,72.8366452,college
703830934,19.1231703,72.8366774,college
703830935,19.1231703,72.8368169,college
703830936,19.1238089,72.8367847,college
715039475,18.9678439,72.8306415,college
715039478,18.9678443,72.8307968,college
715039481,18.9684726,72.8307953,college
715039483,18.9684738,72.8312888,college
715039484,18.9678591,72.8312904,college
715039486,18.9678596,72.8314622,college
715039487,18.9686213,72.8314603,college
715039489,18.9686193,72.8306395,college
740420338,18.9297063,72.8271018,college
814445159,19.2324515,72.8370011,college
867100745,19.1031136,72.8362009,college
867100758,19.1031161,72.8363296,college
867100760,19.1030122,72.836327,college
867100764,19.1030097,72.8365362,college
867100767,19.1031136,72.8365362,college
867100771,19.1031111,72.8366622,college
867100776,19.1030426,72.8366622,college
867100779,19.1029438,72.8366327,college
867100785,19.102883,72.8365818,college
867100788,19.1028475,72.8365147,college
867100792,19.1028373,72.8364396,college
867100796,19.10285,72.8363618,college
867100798,19.1028754,72.8363028,college
867100802,19.1029108,72.8362599,college
867100805,19.102959,72.8362224,college
867100812,19.1030274,72.8362009,college
926196959,18.9401816,72.8288574,college
926196962,18.9404002,72.8297129,college
929764973,19.1031945,72.8371088,college
929764974,19.1033669,72.8376131,college
929764975,19.1025355,72.8378491,college
929764976,19.1025761,72.8373663,college
929764977,19.1038839,72.8371088,college
929764978,19.1039042,72.8375594,college
929764979,19.1035291,72.8376023,college
929764980,19.1034682,72.8371195,college
969803858,19.1352845,72.8515563,college
969803860,19.1315006,72.8540776,college
969803865,19.131848,72.8548655,college
969803874,19.1353589,72.8518715,college
969803875,19.1312897,72.8529089,college
969803885,19.1352597,72.8534341,college
969803887,19.132022,72.8500468,college
969803891,19.1356567,72.8512412,college
969803893,19.1343627,72.8547745,college
969803900,19.135086,72.849928,college
984287784,19.1666738,72.8548599,college
984287788,19.1665217,72.855053,college
984287790,19.1665825,72.8553748,college
984287792,19.1667346,72.8556538,college
984287794,19.1675656,72.855922,college
984287796,19.1677682,72.8550744,college
1186887928,19.16691,72.8457467,college
1186887930,19.1672525,72.8460028,college
1186887938,19.166933,72.8460316,college
1186887944,19.1672296,72.8457179,college
1281204550,19.0209503,72.8589049,college
1281204569,19.0204278,72.8588338,college
1281204617,19.0245395,72.8551864,college
1281214245,19.0146103,72.8542927,college
1281214248,19.0150165,72.8534646,college
1281214251,19.0137165,72.854254,college
1281214253,19.0153493,72.8531385,college
1281214254,19.0147132,72.854122,college
1281214255,19.0141301,72.8541033,college
1281214256,19.0146397,72.8540805,college
1281214257,19.0144978,72.8542358,college
1281214268,19.0143167,72.854122,college
1281214269,19.0137908,72.8542985,college
1281214272,19.0151143,72.8535319,college
1289148268,19.0232938,72.8355091,college
